time,voltage1,voltage2,voltage3,voltage4,voltage5,current1,current2,current3,current4,current5
1894.55,-70.0378418,-70.25146484,-70.3125,-70.40405273,-70.46508789,0,0,0,0,0
1894.6,-70.00732422,-70.34301758,-70.34301758,-70.40405273,-70.46508789,0,0,0,0,0
1894.65,-70.0378418,-70.28198242,-70.3125,-70.37353516,-70.46508789,0,0,0,0,0
1894.7,-70.00732422,-70.25146484,-70.3125,-70.40405273,-70.46508789,0,0,0,0,0
1894.75,-70.0378418,-70.3125,-70.3125,-70.37353516,-70.46508789,0,0,0,0,0
1894.8,-70.00732422,-70.22094727,-70.3125,-70.37353516,-70.49560547,0,0,0,0,0
1894.85,-70.0378418,-70.25146484,-70.28198242,-70.46508789,-70.49560547,0,0,0,0,0
1894.9,-70.00732422,-70.25146484,-70.34301758,-70.46508789,-70.46508789,0,0,0,0,0
1894.95,-69.97680664,-70.22094727,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1895,-70.00732422,-70.25146484,-70.3125,-70.40405273,-70.49560547,0,0,0,0,0
1895.05,-69.97680664,-70.3125,-70.3125,-70.46508789,-70.49560547,0,0,0,0,0
1895.1,-70.00732422,-70.25146484,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1895.15,-70.00732422,-70.22094727,-70.3125,-70.40405273,-70.49560547,0,0,0,0,0
1895.2,-69.94628906,-70.25146484,-70.3125,-70.43457031,-70.49560547,0,0,0,0,0
1895.25,-70.00732422,-70.25146484,-70.3125,-70.43457031,-70.46508789,0,0,0,0,0
1895.3,-70.00732422,-70.25146484,-70.34301758,-70.43457031,-70.52612305,0,0,0,0,0
1895.35,-69.97680664,-70.3125,-70.28198242,-70.40405273,-70.52612305,0,0,0,0,0
1895.4,-70.00732422,-70.25146484,-70.3125,-70.43457031,-70.46508789,0,0,0,0,0
1895.45,-69.97680664,-70.22094727,-70.34301758,-70.37353516,-70.46508789,0,0,0,0,0
1895.5,-69.97680664,-70.28198242,-70.3125,-70.40405273,-70.49560547,0,0,0,0,0
1895.55,-70.00732422,-70.25146484,-70.28198242,-70.43457031,-70.46508789,0,0,0,0,0
1895.6,-69.97680664,-70.22094727,-70.28198242,-70.46508789,-70.43457031,0,0,0,0,0
1895.65,-70.00732422,-70.28198242,-70.3125,-70.40405273,-70.49560547,0,0,0,0,0
1895.7,-70.00732422,-70.28198242,-70.28198242,-70.40405273,-70.49560547,0,0,0,0,0
1895.75,-70.00732422,-70.28198242,-70.3125,-70.46508789,-70.49560547,0,0,0,0,0
1895.8,-70.00732422,-70.3125,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1895.85,-70.0378418,-70.34301758,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
